"data","manancial","volume armazenado","pluviometria do dia","pluviometria acumulada no mês","média histórica do mês"
"2003-1-1","sistemaCantareira","42,5 %","0,0 mm","0,0 mm","253,0 mm"
"2003-1-1","sistemaAltoTiete","39,3 %","0,1 mm","0,1 mm","245,4 mm"
"2003-1-1","sistemaGuarapiranga","37,4 %","0,0 mm","0,0 mm","225,2 mm"
"2003-1-1","sistemaCotia","36,4 %","0,0 mm","0,0 mm","224,8 mm"
"2003-1-1","sistemaRioGrande","97,0 %","0,0 mm","0,0 mm","234,4 mm"
"2003-1-1","sistemaRioClaro","64,2 %","0,0 mm","0,0 mm","287,8 mm"
"2003-1-2","sistemaCantareira","42,3 %","11,1 mm","11,1 mm","253,0 mm"
"2003-1-2","sistemaAltoTiete","39,3 %","9,6 mm","9,7 mm","245,4 mm"
"2003-1-2","sistemaGuarapiranga","37,3 %","0,0 mm","0,0 mm","225,2 mm"
"2003-1-2","sistemaCotia","35,9 %","0,0 mm","0,0 mm","224,8 mm"
"2003-1-2","sistemaRioGrande","97,0 %","26,9 mm","26,9 mm","234,4 mm"
"2003-1-2","sistemaRioClaro","64,0 %","0,0 mm","0,0 mm","287,8 mm"
"2003-1-3","sistemaCantareira","42,3 %","8,6 mm","19,6 mm","253,0 mm"
"2003-1-3","sistemaAltoTiete","39,3 %","10,6 mm","20,3 mm","245,4 mm"
"2003-1-3","sistemaGuarapiranga","37,1 %","8,5 mm","8,5 mm","225,2 mm"
"2003-1-3","sistemaCotia","35,9 %","7,6 mm","7,6 mm","224,8 mm"
"2003-1-3","sistemaRioGrande","97,0 %","4,2 mm","31,1 mm","234,4 mm"
"2003-1-3","sistemaRioClaro","64,2 %","3,8 mm","3,8 mm","287,8 mm"
"2003-1-4","sistemaCantareira","42,3 %","14,3 mm","33,9 mm","253,0 mm"
"2003-1-4","sistemaAltoTiete","39,3 %","2,4 mm","22,7 mm","245,4 mm"
"2003-1-4","sistemaGuarapiranga","37,1 %","3,6 mm","12,1 mm","225,2 mm"
"2003-1-4","sistemaCotia","35,9 %","15,7 mm","23,3 mm","224,8 mm"
"2003-1-4","sistemaRioGrande","96,8 %","0,4 mm","31,5 mm","234,4 mm"
"2003-1-4","sistemaRioClaro","64,3 %","0,7 mm","4,5 mm","287,8 mm"
"2003-1-5","sistemaCantareira","42,4 %","12,7 mm","46,5 mm","253,0 mm"
"2003-1-5","sistemaAltoTiete","39,3 %","13,4 mm","36,2 mm","245,4 mm"
"2003-1-5","sistemaGuarapiranga","37,3 %","24,5 mm","36,6 mm","225,2 mm"
"2003-1-5","sistemaCotia","36,3 %","19,7 mm","43,0 mm","224,8 mm"
"2003-1-5","sistemaRioGrande","96,6 %","0,0 mm","31,5 mm","234,4 mm"
"2003-1-5","sistemaRioClaro","64,4 %","9,3 mm","13,8 mm","287,8 mm"
"2003-1-6","sistemaCantareira","42,4 %","23,8 mm","70,4 mm","253,0 mm"
"2003-1-6","sistemaAltoTiete","39,3 %","2,6 mm","38,8 mm","245,4 mm"
"2003-1-6","sistemaGuarapiranga","37,3 %","1,0 mm","37,6 mm","225,2 mm"
"2003-1-6","sistemaCotia","36,6 %","2,6 mm","45,6 mm","224,8 mm"
"2003-1-6","sistemaRioGrande","96,5 %","0,0 mm","31,5 mm","234,4 mm"
"2003-1-6","sistemaRioClaro","64,6 %","30,2 mm","44,0 mm","287,8 mm"
"2003-1-7","sistemaCantareira","42,5 %","0,0 mm","70,4 mm","253,0 mm"
"2003-1-7","sistemaAltoTiete","39,4 %","0,7 mm","39,5 mm","245,4 mm"
"2003-1-7","sistemaGuarapiranga","37,3 %","0,0 mm","37,6 mm","225,2 mm"
"2003-1-7","sistemaCotia","36,6 %","0,0 mm","45,6 mm","224,8 mm"
"2003-1-7","sistemaRioGrande","96,3 %","1,5 mm","33,0 mm","234,4 mm"
"2003-1-7","sistemaRioClaro","65,0 %","16,6 mm","60,6 mm","287,8 mm"
"2003-1-8","sistemaCantareira","42,5 %","0,0 mm","70,4 mm","253,0 mm"
"2003-1-8","sistemaAltoTiete","39,3 %","0,2 mm","39,7 mm","245,4 mm"
"2003-1-8","sistemaGuarapiranga","37,2 %","0,0 mm","37,6 mm","225,2 mm"
"2003-1-8","sistemaCotia","36,2 %","0,0 mm","45,6 mm","224,8 mm"
"2003-1-8","sistemaRioGrande","96,1 %","0,0 mm","33,0 mm","234,4 mm"
"2003-1-8","sistemaRioClaro","65,1 %","0,2 mm","60,8 mm","287,8 mm"
"2003-1-9","sistemaCantareira","42,6 %","0,0 mm","70,4 mm","253,0 mm"
"2003-1-9","sistemaAltoTiete","39,2 %","0,1 mm","39,7 mm","245,4 mm"
"2003-1-9","sistemaGuarapiranga","37,0 %","0,0 mm","37,6 mm","225,2 mm"
"2003-1-9","sistemaCotia","35,7 %","0,0 mm","45,6 mm","224,8 mm"
"2003-1-9","sistemaRioGrande","95,8 %","0,0 mm","33,0 mm","234,4 mm"
